Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
bostoncollege,16,9,2,5,stevens,11,0,7,4,2024-01-27,brandeis
brandeis,18,5,4,9,njit,9,4,5,0,2024-01-27,brandeis
duke,27,9,9,9,haverford,0,0,0,0,2024-01-27,brandeis
mit,25,7,9,9,hunter,2,2,0,0,2024-01-27,brandeis
nyu,14,4,6,4,brown,13,5,3,5,2024-01-27,brandeis
brandeis,18,6,6,6,stevens,9,3,3,3,2024-01-27,brandeis
duke,20,7,8,5,brown,7,2,1,4,2024-01-27,brandeis
mit,14,4,5,5,nyu,13,5,4,4,2024-01-27,brandeis
tufts,18,7,3,8,njit,9,2,6,1,2024-01-27,brandeis
wellesley,24,8,8,8,hunter,3,1,1,1,2024-01-27,brandeis
duke,18,7,5,6,bostoncollege,9,2,4,3,2024-01-27,brandeis
nyu,15,5,7,3,brandeis,12,4,2,6,2024-01-27,brandeis
brown,27,9,9,9,hunter,0,0,0,0,2024-01-27,brandeis
mit,22,7,8,7,haverford,5,2,1,2,2024-01-27,brandeis
tufts,21,8,5,8,stevens,6,1,4,1,2024-01-27,brandeis
bostoncollege,27,9,9,9,haverford,0,0,0,0,2024-01-27,brandeis
brandeis,21,7,6,8,hunter,6,2,3,1,2024-01-27,brandeis
brown,19,9,3,7,stevens,8,0,6,2,2024-01-27,brandeis
duke,19,6,7,6,tufts,8,3,2,3,2024-01-27,brandeis
wellesley,15,7,4,4,nyu,12,2,5,5,2024-01-27,brandeis
bostoncollege,16,4,7,5,nyu,11,5,2,4,2024-01-27,brandeis
duke,22,8,6,8,brandeis,5,1,3,1,2024-01-27,brandeis
mit,21,8,4,9,njit,6,1,5,0,2024-01-27,brandeis
stevens,18,6,3,9,hunter,9,3,6,0,2024-01-27,brandeis
wellesley,23,7,9,7,haverford,4,2,0,2,2024-01-27,brandeis
bostoncollege,26,8,9,9,hunter,1,1,0,0,2024-01-27,brandeis
brandeis,24,8,7,9,haverford,3,1,2,0,2024-01-27,brandeis
brown,25,9,7,9,njit,2,0,2,0,2024-01-27,brandeis
duke,25,8,9,8,nyu,2,1,0,1,2024-01-27,brandeis
wellesley,17,6,7,4,stevens,10,3,2,5,2024-01-27,brandeis
bostoncollege,27,9,9,9,njit,0,0,0,0,2024-01-27,brandeis
brown,27,9,9,9,haverford,0,0,0,0,2024-01-27,brandeis
mit,20,5,8,7,stevens,7,4,1,2,2024-01-27,brandeis
tufts,14,6,4,4,nyu,13,3,5,5,2024-01-27,brandeis
harvard,16,7,5,4,duke,11,2,4,5,2024-01-26,harvard
princeton,17,4,4,9,wagner,10,5,5,0,2024-01-24,princeton
princeton,22,6,7,9,drew,5,3,2,0,2024-01-21,upenn
pennstate,22,9,5,8,njit,5,0,4,1,2024-01-21,upenn
duke,15,3,5,7,northwestern,12,6,4,2,2024-01-21,upenn
ohiostate,21,7,6,8,nyu,6,2,3,1,2024-01-21,upenn
notredame,20,7,7,6,temple,7,2,2,3,2024-01-21,upenn
upenn,14,4,5,5,northwestern,13,5,4,4,2024-01-21,upenn
temple,20,6,5,9,njit,7,3,4,0,2024-01-21,upenn
