Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
mit,19,8,7,4,vassar,8,1,2,5,2023-11-19,bostoncollege
bostoncollege,17,6,8,3,brandeis,10,3,1,6,2023-11-19,bostoncollege
mit,15,9,2,4,wagner,12,0,7,5,2023-11-19,bostoncollege
mit,15,6,5,4,bostoncollege,12,3,4,5,2023-11-19,bostoncollege
shu,15,9,4,2,wagner,12,0,5,7,2023-11-19,bostoncollege
bostoncollege,19,3,7,9,vassar,8,6,2,0,2023-11-19,bostoncollege
shu,16,2,8,6,brandeis,11,7,1,3,2023-11-19,bostoncollege
bostoncollege,20,9,3,8,wagner,7,0,6,1,2023-11-19,bostoncollege
brandeis,14,0,6,8,vassar,13,9,3,1,2023-11-19,bostoncollege
mit,15,6,4,5,shu,12,3,5,4,2023-11-19,bostoncollege
brandeis,17,9,2,6,wagner,10,0,7,3,2023-11-19,bostoncollege
shu,16,5,5,6,vassar,11,4,4,3,2023-11-19,bostoncollege
mit,17,6,8,3,brandeis,10,3,1,6,2023-11-19,bostoncollege
vassar,14,9,2,3,wagner,13,0,7,6,2023-11-19,bostoncollege
bostoncollege,21,9,7,5,shu,6,0,2,4,2023-11-19,bostoncollege
johnshopkins,15,5,4,6,njit,12,4,5,3,2023-11-18,columbia
johnshopkins,21,7,9,5,stevens,6,2,0,4,2023-11-18,columbia
columbia,21,8,6,7,stevens,6,1,3,2,2023-11-18,columbia
columbia,21,9,5,7,njit,6,0,4,2,2023-11-18,columbia
columbia,17,6,4,7,johnshopkins,10,3,5,2,2023-11-18,columbia
bostoncollege,18,8,5,5,brandeis,9,1,4,4,2023-11-15,brandeis
bostoncollege,14,3,4,7,mit,13,6,5,2,2023-11-15,brandeis
harvard,14,5,7,2,brandeis,13,4,2,7,2023-11-15,brandeis
mit,18,8,5,5,brandeis,9,1,4,4,2023-11-15,brandeis
harvard,17,9,5,3,bostoncollege,10,0,4,6,2023-11-15,brandeis
harvard,17,6,5,6,mit,10,3,4,3,2023-11-15,brandeis
johnshopkins,17,5,5,7,shu,10,4,4,2,2023-11-12,vassar
yale,19,4,8,7,vassar,8,5,1,2,2023-11-12,vassar
drew,15,7,5,3,wagner,12,2,4,6,2023-11-12,vassar
haverford,23,8,7,8,hunter,4,1,2,1,2023-11-12,vassar
johnshopkins,15,3,6,6,drew,12,6,3,3,2023-11-12,vassar
vassar,25,8,8,9,hunter,2,1,1,0,2023-11-12,vassar
shu,26,8,9,9,yeshiva,1,1,0,0,2023-11-12,vassar
stevens,17,5,6,6,drew,10,4,3,3,2023-11-12,vassar
yale,17,6,5,6,wagner,10,3,4,3,2023-11-12,vassar
johnshopkins,22,8,7,7,wagner,5,1,2,2,2023-11-12,vassar
yale,18,4,7,7,shu,9,5,2,2,2023-11-12,vassar
drew,25,8,9,8,yeshiva,2,1,0,1,2023-11-12,vassar
vassar,15,7,4,4,stevens,12,2,5,5,2023-11-12,vassar
haverford,14,3,6,5,vassar,13,6,3,4,2023-11-12,vassar
johnshopkins,22,9,4,9,drew,5,0,5,0,2023-11-12,vassar
